path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Where Var 2025-7-24 Captions.webm,where var,WHERE VAR,Where Var,2025-07-24
content/asl_app_data/dictionary/SG ASL You 2025-7-22 Captions.webm,you,YOU,You,2025-07-22
content/asl_app_data/dictionary/SG ASL Which 2025-7-22 Captions.webm,which,WHICH,Which,2025-07-22
content/asl_app_data/dictionary/SG ASL Which Var 2025-7-22 Captions.webm,which var,WHICH VAR,Which Var,2025-07-22
content/asl_app_data/dictionary/SG ASL Come 2025-3-27 GIF.gif,come,COME,Come,2025-03-27
content/asl_app_data/dictionary/SG ASL Come Up 2025-3-26 CC.mp4,come up,COME UP,Come Up,2025-03-26
content/asl_app_data/dictionary/SG ASL Come Up to Me 2 2025-3-26.mkv,come up to me 2,COME UP TO ME 2,Come Up to Me 2,2025-03-26
content/asl_app_data/dictionary/SG ASL Come Up With 2025-3-26 GIF.gif,come up with,COME UP WITH,Come Up With,2025-03-26
content/asl_app_data/dictionary/SG ASL Come Together 2025-3-26.mkv,come together,COME TOGETHER,Come Together,2025-03-26
content/asl_app_data/dictionary/SG ASL Come Over Their Place 2025-3-25.mkv,come over their place,COME OVER THEIR PLACE,Come Over Their Place,2025-03-25
content/asl_app_data/dictionary/SG ASL Come Hither 2025-3-25.mkv,come hither,COME HITHER,Come Hither,2025-03-25
content/asl_app_data/dictionary/SG ASL Come Here 2025-3-25 CC.mp4,come here,COME HERE,Come Here,2025-03-25
content/asl_app_data/dictionary/SG ASL Come Hither Full Hand 2025-3-25 CC.mp4,come hither full hand,COME HITHER FULL HAND,Come Hither Full Hand,2025-03-25
content/asl_app_data/dictionary/SG ASL Come Over 2 2025-3-25 CC.mp4,come over 2,COME OVER 2,Come Over 2,2025-03-25
content/asl_app_data/dictionary/SG ASL Come Before 2025-3-24.mkv,come before,COME BEFORE,Come Before,2025-03-24
content/asl_app_data/dictionary/SG ASL Come 2 Handed Eng 2025-3-24 CC.mp4,come 2 handed eng,COME 2 HANDED ENG,Come 2 Handed Eng,2025-03-24
content/asl_app_data/dictionary/SG ASL Come 2 Handed 2025-3-24 GIF.gif,come 2 handed,COME 2 HANDED,Come 2 Handed,2025-03-24
content/asl_app_data/dictionary/SG ASL Come Across Person 2025-3-24.mkv,come across person,COME ACROSS PERSON,Come Across Person,2025-03-24
content/asl_app_data/dictionary/SG ASL Come 2 Handed Alt 2025-3-24 GIF.gif,come 2 handed alt,COME 2 HANDED ALT,Come 2 Handed Alt,2025-03-24
content/asl_app_data/dictionary/SG ASL Color 2025-3-23.mkv,color,COLOR,Color,2025-03-23
content/asl_app_data/dictionary/SG ASL Color Wheel 2025-3-21.mkv,color wheel,COLOR WHEEL,Color Wheel,2025-03-21
content/asl_app_data/dictionary/SG ASL Cold Shoulder 2025-3-8 CC.mp4,cold shoulder,COLD SHOULDER,Cold Shoulder,2025-03-08
content/asl_app_data/dictionary/SG ASL Cold Virus 2025-3-8.mkv,cold virus,COLD VIRUS,Cold Virus,2025-03-08
content/asl_app_data/dictionary/SG ASL Cold 2025-3-8.mkv,cold,COLD,Cold,2025-03-08
content/asl_app_data/dictionary/SG ASL Cold Sore 2025-3-8 GIF.gif,cold sore,COLD SORE,Cold Sore,2025-03-08
content/asl_app_data/dictionary/SG ASL Cold Front 2025-3-6.mkv,cold front,COLD FRONT,Cold Front,2025-03-06
content/asl_app_data/dictionary/SG ASL Clean 2025-2-27.mkv,clean,CLEAN,Clean,2025-02-27
content/asl_app_data/dictionary/SG ASL Clean Window 2025-2-26 GIF.gif,clean window,CLEAN WINDOW,Clean Window,2025-02-26
content/asl_app_data/dictionary/SG ASL Clean Wall 2025-2-26 CC.mp4,clean wall,CLEAN WALL,Clean Wall,2025-02-26
content/asl_app_data/dictionary/SG ASL Clean Shaven 2025-2-25.mkv,clean shaven,CLEAN SHAVEN,Clean Shaven,2025-02-25
content/asl_app_data/dictionary/SG ASL Clean Very 2025-2-25 GIF.gif,clean very,CLEAN VERY,Clean Very,2025-02-25
content/asl_app_data/dictionary/SG ASL Clean Up 2025-2-25 CC.mp4,clean up,CLEAN UP,Clean Up,2025-02-25
content/asl_app_data/dictionary/SG ASL Clean Hair 2025-2-24 CC.mp4,clean hair,CLEAN HAIR,Clean Hair,2025-02-24
